name,n.obs,total.acc
NewZealandStreams,326,98.1927710843374
NewZealandStreams,115,98.1927710843374
NewZealandStreams,115,98.1927710843374
NewZealandStreams,5,93.9759036144578
NewZealandStreams,5,80.421686746988
NewZealandStreams,301,98.1927710843374
NewZealandStreams,301,98.1927710843374
NewZealandStreams,207,98.1927710843374
NewZealandStreams,207,98.1927710843374
Iceland streams,43,100
Iceland streams,8,95.3488372093023
Iceland streams,8,79.0697674418605
Iceland streams,31,100
Iceland streams,31,100
Iceland streams,30,100
Iceland streams,30,100
Iceland streams,41,100
Iceland streams,41,100
Iceland streams,20,95.3488372093023
Iceland streams,20,100
Iceland streams,33,100
Iceland streams,33,100
Iceland streams,6,95.3488372093023
Iceland streams,6,95.3488372093023
Iceland streams,32,100
Iceland streams,32,100
Iceland streams,27,95.3488372093023
Iceland streams,27,100
Iceland streams,24,95.3488372093023
Iceland streams,24,100
Iceland streams,43,100
Iceland streams,43,100
Iceland streams,12,100
Iceland streams,12,100
Iceland streams,16,95.3488372093023
Iceland streams,16,95.3488372093023
Iceland streams,26,100
Iceland streams,26,100
Iceland streams,22,100
Iceland streams,22,100
Iceland streams,29,100
Iceland streams,29,100
Iceland streams,28,100
Iceland streams,28,100
Iceland streams,11,95.3488372093023
Iceland streams,11,100
Iceland streams,3,39.5348837209302
Iceland streams,3,79.0697674418605
Iceland streams,5,79.0697674418605
Iceland streams,5,79.0697674418605
Intertidal rocky pools,3208,99.8441396508728
Intertidal rocky pools,1156,99.8441396508728
Intertidal rocky pools,1156,99.8441396508728
Intertidal rocky pools,601,99.8441396508728
Intertidal rocky pools,601,99.8441396508728
Intertidal rocky pools,621,99.8441396508728
Intertidal rocky pools,621,99.8441396508728
Intertidal rocky pools,210,99.8441396508728
Intertidal rocky pools,210,99.8441396508728
Intertidal rocky pools,2591,99.8441396508728
Intertidal rocky pools,2591,99.8441396508728
